#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,Vasante__Julho_/2023,,,,,,,,,,,,,,,,Seca__Outubro_/2023,,,,,,,,,,,,,,,Enchente_Marco_de_2024,,,,,,,,,,,,,,Cheia_Dezembro_2024,,,,,,,,,,,,,
,,,,,FOAD,B._sonhos,estrada_(mata+comunidade),Sinha_mariana_(indo_para_corixo_Leme),Corixo_Leme,_Rio_II_________________________________________Estirao_Cumprido/Porto_Brandao,,Rio_I_______________________Poco/_Barao,,Mane_Isaque,Rio_III______________Cuiaba_Mirim,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore_cidade,Total_1ª_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,_Rio_II_____________________________________________________Porto_Brandao/_Estirao_Cumprido,Rio_III,,Mane_Isaque,Rio_I,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_2º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_3º_Coleta,FOAD,B._sonhos,estrada_(mata+comunidade),Chacorore___Sinha_Mariana,Corixo_Leme,Rio_III,Rio_II,Rio_I,Mane_Isaque,Sinha_Mariana__Mutum,Rio_Mutum,Corixo_do_Mato,Chacorore,Total_4º_Coleta
2121,Especie,Epinecrophylla_leucophthalma_(Pelzeln_1868),choquinha_de_olho_branco,White_eyed_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2125,Especie,Epinecrophylla_haematonota_(Sclater_1857),choquinha_de_garganta_carijo,Rufous_backed_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2126,Especie,Epinecrophylla_pyrrhonota_(Sclater_&_Salvin_1873),choquinha_do_rio_negro,Negro_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2127,Especie,Epinecrophylla_amazonica_(Ihering_1905),choquinha_do_madeira,Rio_Madeira_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2128,Especie,Epinecrophylla_dentei_Whitney_Isler_Bravo_Aristizabal_Schunck_Silveira_&_Piacentini_2013,choquinha_do_rio_roosevelt,Roosevelt_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2129,Especie,Epinecrophylla_ornata_(Sclater_1853),choquinha_ornada,Ornate_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2133,Especie,Epinecrophylla_erythrura_(Sclater_1890),choquinha_de_cauda_ruiva,Rufous_tailed_Stipplethroat,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2136,Genero,Aprositornis_Isler_Bravo_&_Brumfield_2013,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2137,Especie,Aprositornis_disjuncta_(Friedmann_1945),formigueiro_de_yapacana,Yapacana_Antbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2138,Genero,Ammonastes_Bravo_Isler_&_Brumfield_2013,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2139,Especie,Ammonastes_pelzelni_(Sclater_1890),formigueiro_de_barriga_cinza,Gray_bellied_Antbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2140,Genero,Myrmophylax_Todd_1927,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2141,Especie,Myrmophylax_atrothorax_(Boddaert_1783),formigueiro_de_peito_preto,Black_throated_Antbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2146,Genero,Myrmochanes_Allen_1889,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2147,Especie,Myrmochanes_hemileucus_(Sclater_&_Salvin_1866),formigueiro_preto_e_branco,Black_and_white_Antbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2148,Genero,Terenura_Cabanis_&_Heine_1859,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2149,Especie,Terenura_sicki_Teixeira_&_Gonzaga_1983,zidede_do_nordeste,Orange_bellied_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2150,Especie,Terenura_maculata_(Wied_1831),zidede,Streak_capped_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2151,Genero,Myrmotherula_Sclater_1858,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2152,Especie,Myrmotherula_brachyura_(Hermann_1783),choquinha_miuda,Pygmy_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2153,Especie,Myrmotherula_obscura_Zimmer_1932,choquinha_de_bico_curto,Moustached_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2154,Especie,Myrmotherula_ambigua_Zimmer_1932,choquinha_de_coroa_listrada,Yellow_throated_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2155,Especie,Myrmotherula_sclateri_Snethlage_1912,choquinha_de_garganta_amarela,Sclater's_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2156,Especie,Myrmotherula_surinamensis_(Gmelin_1788),choquinha_estriada,Guianan_Streaked_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2157,Especie,Myrmotherula_multostriata_Sclater_1858,choquinha_estriada_da_amazonia,Amazonian_Streaked_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2158,Especie,Myrmotherula_cherriei_Berlepsch_&_Hartert_1902,choquinha_de_peito_riscado,Cherrie's_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2159,Especie,Myrmotherula_klagesi_Todd_1927,choquinha_do_tapajos,Klages's_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2160,Especie,Myrmotherula_axillaris_(Vieillot_1817),choquinha_de_flanco_branco,White_flanked_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2165,Especie,Myrmotherula_sunensis_Chapman_1925,choquinha_do_oeste,Rio_Suno_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2167,Especie,Myrmotherula_minor_Salvadori_1864,choquinha_pequena,Salvadori's_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2168,Especie,Myrmotherula_longipennis_Pelzeln_1868,choquinha_de_asa_comprida,Long_winged_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2174,Especie,Myrmotherula_urosticta_(Sclater_1857),choquinha_de_rabo_cintado,Band_tailed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2175,Especie,Myrmotherula_iheringi_Snethlage_1914,choquinha_de_ihering,Ihering's_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2176,Especie,Myrmotherula_oreni_Miranda_Aleixo_Whitney_Silveira_Guilherme_Santos_&_Schneider_2013,choquinha_do_bambu,Bamboo_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2177,Especie,Myrmotherula_heteroptera_Todd_1927,choquinha_do_purus,Purus_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2178,Especie,Myrmotherula_fluminensis_Gonzaga_1988,choquinha_fluminense,Rio_de_Janeiro_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2179,Especie,Myrmotherula_unicolor_(Menetries_1835),choquinha_cinzenta,Unicolored_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2180,Especie,Myrmotherula_snowi_Teixeira_&_Gonzaga_1985,choquinha_de_alagoas,Alagoas_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2181,Especie,Myrmotherula_behni_Berlepsch_&_Leverkühn_1890,choquinha_de_asa_lisa,Plain_winged_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2184,Especie,Myrmotherula_menetriesii_(dOrbigny_1837),choquinha_de_garganta_cinza,Gray_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2190,Especie,Myrmotherula_assimilis_Pelzeln_1868,choquinha_da_varzea,Leaden_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2193,Genero,Formicivora_Swainson_1824,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2194,Especie,Formicivora_iheringi_Hellmayr_1909,formigueiro_do_nordeste,Narrow_billed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2195,Especie,Formicivora_erythronotos_Hartlaub_1852,formigueiro_de_cabeca_negra,Black_hooded_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2196,Especie,Formicivora_grisea_(Boddaert_1783),papa_formiga_pardo,White_fringed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2199,Especie,Formicivora_serrana_Hellmayr_1929,formigueiro_da_serra,Serra_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2202,Especie,Formicivora_littoralis_Gonzaga_&_Pacheco_1990,formigueiro_do_litoral,Restinga_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2203,Especie,Formicivora_melanogaster_Pelzeln_1868,formigueiro_de_barriga_preta,Black_bellied_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2206,Especie,Formicivora_rufa_(Wied_1831),papa_formiga_vermelho,Rusty_backed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2210,Especie,Formicivora_grantsaui_Gonzaga_Carvalhaes_&_Buzzetti_2007,papa_formiga_do_sincora,Sincora_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2211,Especie,Formicivora_paludicola_Buzzetti_Belmonte_Lopes_Reinert_Silveira_&_Bornschein_2014,bicudinho_do_brejo_paulista,Sao_Paulo_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2212,Especie,Formicivora_acutirostris_(Bornschein_Reinert_&_Teixeira_1995),bicudinho_do_brejo,Marsh_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2213,Genero,Isleria_Bravo_Chesser_&_Brumfield_2012,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2214,Especie,Isleria_hauxwelli_(Sclater_1857),choquinha_de_garganta_clara,Plain_throated_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2219,Especie,Isleria_guttata_(Vieillot_1825),choquinha_de_barriga_ruiva,Rufous_bellied_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2220,Genero,Thamnomanes_Cabanis_1847,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2221,Especie,Thamnomanes_ardesiacus_(Sclater_&_Salvin_1867),uirapuru_de_garganta_preta,Dusky_throated_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2224,Especie,Thamnomanes_saturninus_(Pelzeln_1868),uirapuru_selado,Saturnine_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2227,Especie,Thamnomanes_caesius_(Temminck_1820),ipecua,Cinereous_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2233,Especie,Thamnomanes_schistogynus_Hellmayr_1911,uirapuru_azul,Bluish_slate_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2235,Genero,Dichrozona_Ridgway_1888,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2236,Especie,Dichrozona_cincta_(Pelzeln_1868),tovaquinha,Banded_Antbird,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2240,Genero,Rhopias_Cabanis_&_Heine_1860,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2241,Especie,Rhopias_gularis_(Spix_1825),choquinha_de_garganta_pintada,Star_throated_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2242,Genero,Megastictus_Ridgway_1909,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2243,Especie,Megastictus_margaritatus_(Sclater_1855),choca_pintada,Pearly_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2244,Genero,Sakesphoroides_Grantsau_2010,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2245,Especie,Sakesphoroides_cristatus_(Wied_1831),choca_do_nordeste,Silvery_cheeked_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2246,Genero,Dysithamnus_Cabanis_1847,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2247,Especie,Dysithamnus_stictothorax_(Temminck_1823),choquinha_de_peito_pintado,Spot_breasted_Antvireo,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2248,Especie,Dysithamnus_mentalis_(Temminck_1823),choquinha_lisa,Plain_Antvireo,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2253,Especie,Dysithamnus_xanthopterus_Burmeister_1856,choquinha_de_asa_ferrugem,Rufous_backed_Antvireo,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2254,Especie,Dysithamnus_plumbeus_(Wied_1831),choquinha_chumbo,Plumbeous_Antvireo,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2255,Genero,Herpsilochmus_Cabanis_1847,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2256,Especie,Herpsilochmus_pectoralis_Sclater_1857,chorozinho_de_papo_preto,Pectoral_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2257,Especie,Herpsilochmus_roraimae_Hellmayr_1903,chorozinho_de_roraima,Roraiman_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2260,Especie,Herpsilochmus_longirostris_Pelzeln_1868,chorozinho_de_bico_comprido,Large_billed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2261,Especie,Herpsilochmus_sticturus_Salvin_1885,chorozinho_de_cauda_pintada,Spot_tailed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2262,Especie,Herpsilochmus_frater_Sclater_&_Salvin_1880,chorozinho_de_asa_vermelha_do_norte,Northern_Rufous_winged_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2264,Especie,Herpsilochmus_rufimarginatus_(Temminck_1822),chorozinho_de_asa_vermelha,Southern_Rufous_winged_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2267,Especie,Herpsilochmus_stictocephalus_Todd_1927,chorozinho_de_cabeca_pintada,Todds_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2268,Especie,Herpsilochmus_dorsimaculatus_Pelzeln_1868,chorozinho_de_costas_manchadas,Spot_backed_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2269,Especie,Herpsilochmus_praedictus_Cohn_Haft_&_Bravo_2013,chorozinho_esperado,Predicted_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2270,Especie,Herpsilochmus_stotzi_Whitney_Cohn_Haft_Bravo_Schunck_&_Silveira_2013,chorozinho_do_aripuana,Aripuana_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2271,Especie,Herpsilochmus_atricapillus_Pelzeln_1868,chorozinho_de_chapeu_preto,Black_capped_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2272,Especie,Herpsilochmus_pileatus_(Lichtenstein_1823),chorozinho_de_bone,Bahia_Antwren,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2273,Genero,Sakesphorus_Chubb_1918,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2274,Especie,Sakesphorus_canadensis_(Linnaeus_1766),choca_de_crista_preta,Black_crested_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2277,Especie,Sakesphorus_luctuosus_(Lichtenstein_1823),choca_dagua,Glossy_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2278,Genero,Thamnophilus_Vieillot_1816,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2279,Especie,Thamnophilus_doliatus_(Linnaeus_1764),choca_barrada,Barred_Antshrike,,,,,,,,,,,,,2,,,2,2,,,,,,,,,,,,,,2,2,,,,,,,,,,,0,2,4,,,,,,,,,,,,,,0
2285,Especie,Thamnophilus_capistratus_Lesson_1840,choca_barrada_do_nordeste,Caatinga_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2286,Especie,Thamnophilus_ruficapillus_Vieillot_1816,choca_de_chapeu_vermelho,Rufous_capped_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2288,Especie,Thamnophilus_torquatus_Swainson_1825,choca_de_asa_vermelha,Rufous_winged_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2289,Especie,Thamnophilus_palliatus_(Lichtenstein_1823),choca_listrada,Chestnut_backed_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2293,Especie,Thamnophilus_schistaceus_dOrbigny_1835,choca_de_olho_vermelho,Plain_winged_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2298,Especie,Thamnophilus_murinus_Sclater_&_Salvin_1868,choca_murina,Mouse_colored_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2302,Especie,Thamnophilus_cryptoleucus_(Menegaux_&_Hellmayr_1906),choca_selada,Castelnau's_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2303,Especie,Thamnophilus_nigrocinereus_Sclater_1855,choca_preta_e_cinza,Blackish_gray_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2309,Especie,Thamnophilus_punctatus_(Shaw_1809),choca_bate_cabo,Northern_Slaty_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2311,Especie,Thamnophilus_stictocephalus_Pelzeln_1868,choca_de_natterer,Natterer's_Slaty_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2313,Especie,Thamnophilus_sticturus_Pelzeln_1868,choca_da_bolivia,Bolivian_Slaty_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2314,Especie,Thamnophilus_pelzelni_Hellmayr_1924,choca_do_planalto,Planalto_Slaty_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2315,Especie,Thamnophilus_ambiguus_Swainson_1825,choca_de_sooretama,Sooretama_Slaty_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2316,Especie,Thamnophilus_caerulescens_Vieillot_1816,choca_da_mata,Variable_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2324,Especie,Thamnophilus_aethiops_Sclater_1858,choca_lisa,White_shouldered_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2333,Especie,Thamnophilus_melanothorax_Sclater_1857,choca_de_cauda_pintada,Band_tailed_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2334,Especie,Thamnophilus_amazonicus_Sclater_1858,choca_canela,Amazonian_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2340,Especie,Thamnophilus_insignis_Salvin_&_Godman_1884,choca_de_roraima,Streak_backed_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2342,Especie,Thamnophilus_divisorius_Whitney_Oren_&_Brumfield_2004,choca_do_acre,Acre_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2343,Genero,Cymbilaimus_Gray_1840,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2344,Especie,Cymbilaimus_lineatus_(Leach_1814),papa_formiga_barrado,Fasciated_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2347,Especie,Cymbilaimus_sanctaemariae_Gyldenstolpe_1941,choca_do_bambu,Bamboo_Antshrike,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2348,Genero,Taraba_Lesson_1831,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0
2349,Especie,Taraba_major_(Vieillot_1816),choro_boi,Great_Antshrike,,,,,,,,,,2,,,,,,2,,,,,,,,,,2,,,,,2,2,,,,,,,,,,,,2,4,,,,,,,2,,,,,,2,4
