Especie,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,Total
Egretta_caerulea_(Linnaeus_1758),0,1,1,0,0,0,0,0,4,1,2,0,0,9,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Plegadis_chihi_(Vieillot_1817),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mesembrinibis_cayennensis_(Gmelin_1789),0,0,6,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,76,1,0,0,0,0,15,92,0,0,3,0,0,0,0,3,1,1,1,0,0,9,0,0,0,0,0,0,0,0,0,0,3,0,0,3,111
Phimosus_infuscatus_(Lichtenstein_1823),0,0,80,0,0,0,1,0,0,3,0,12,2,98,0,0,0,0,0,0,15,0,0,12,0,0,16,43,0,0,1,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,1,146
Theristicus_caerulescens_(Vieillot_1817),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
Theristicus_caudatus_(Boddaert_1783),0,3,14,0,0,0,7,1,0,2,0,0,2,29,1,2,2,0,0,0,6,0,0,4,0,0,2,17,2,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,12,0,0,0,4,0,0,0,0,0,0,16,68
Platalea_ajaja_Linnaeus_1758,0,0,7,0,0,0,1,0,2,0,2,32,0,44,0,0,0,0,0,0,34,0,0,0,0,0,0,34,0,0,44,0,0,0,0,0,0,0,0,0,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123
Coragyps_atratus_(Bechstein_1793),0,2,1,3,0,2,42,44,10,3,16,0,103,226,0,2,41,0,3,9,51,97,4,0,0,0,6,213,1,0,4,0,5,14,2,4,3,0,31,0,2,66,0,0,0,4,2,93,6,14,5,0,3,0,12,139,644
Cathartes_aura_(Linnaeus_1758),0,0,0,0,0,0,0,0,1,0,7,0,0,8,0,1,0,0,0,0,1,0,0,0,1,0,5,8,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,4,0,0,0,0,1,0,0,5,23
Cathartes_burrovianus_Cassin_1845,0,2,0,0,0,0,2,0,2,0,0,0,0,6,0,0,0,0,0,0,2,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,2,1,10,0,1,14,0,0,0,0,1,2,0,0,0,0,0,0,0,3,27
Pandion_haliaetus_(Linnaeus_1758),0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Busarellus_nigricollis_(Latham_1790),0,0,0,0,0,0,0,0,0,0,2,1,1,4,0,0,0,0,0,0,1,0,1,0,2,0,0,4,1,0,0,0,0,0,0,1,0,0,3,0,1,6,0,0,0,1,0,0,1,0,0,0,4,0,0,6,20
Rostrhamus_sociabilis_(Vieillot_1817),0,1,0,0,0,0,2,0,3,0,0,2,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
Harpagus_diodon_(Temminck_1823),0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Circus_buffoni_(Gmelin_1788),0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Geranospiza_caerulescens_(Vieillot_1817),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
