#,Categoria,Nome_do_taxon_(com_autoria),Nome_em_Portugues,English_Name,estrada_(mata_+_comunidade)___Vasante,FOAD_Vasante,B._sonhos_vasante,Sia_mariana__corixo_Leme__vasante,Corixo_Leme_vasante,Rio_III_vasante,RioII_vasante,Rio_I_vasante,Mane_Isaque_vasante,Sia_Mariana__Mutum_vasante,Rio_Mutum_vasante,Corixo_do_Mato_vasante,Chacorore__vasante,Total_1º_coleta/_Vazante,estrada_(mata_+_comunidade)_seca,FOAD_seca,B._sonhos_seca,Sia_Mariana__corixo_do_leme_seca,Corixo_Leme_seca,Rio_III_seca,_Rio_II_seca,Rio_I_seca,Mane_Isaque_seca,Sia_Mariana__Mutum_seca,Rio_Mutum_seca,Corixo_do_Mato_seca,Chacorore_seca,Total_2º_coleta/_Seca,estrada_(mata_+_comunidade)_enchente,FOAD_enchente,B._sonhos_enchente,Sia_Mariana___Corixo_do_Leme_enchente,Corixo_Leme_enchente,Rio_III_enchente,Rio_II_enchente,Rio_I_enchente,Mane_Isaque_enchente,Sia_Mariana__Mutum_enchente,Rio_Mutum_enchente,Corixo_do_Mato_enchente,Chacorore_enchente,Total_3º_coleta/_enchente,estrada_(mata_+_comunidade)_cheia,FOAD_cheia,B._sonhos_cheia,Sia_Mariana___Corixo_do_leme_cheia,Corixo_Leme_cheia,Rio_III_cheia,Rio_II_cheia,Rio_I_cheia,Mane_Isaque_cheia,Sia_Mariana__Mutum_cheia,Rio_Mutum_cheia,Corixo_do_Mato_cheia,Chacorore_cheia,Total_4º_coleta/_Cheia,
29,Especie,Crotophaga_major_Gmelin_1788,anu_coroca,Greater_Ani,,,,,,,,,,,3,,,3,,,9,,,,,1,,,9,,6,25,,,,,4,2,,20,7,,,1,,34,,,,,2,1,5,1,11,,5,,2,27,89
30,Especie,Crotophaga_ani_Linnaeus_1758,anu_preto,Smooth_billed_Ani,1,,,,,5,2,4,7,,5,15,6,45,4,1,,5,,6,9,4,23,,1,,14,67,,,,,,1,5,,2,,4,2,29,43,,,2,,2,1,2,,7,,,,2,16,171
,Subfamilia,Taperinae_Verheyen_1956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Dromococcyx_Wied_1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Especie,Dromococcyx_phasianellus_(Spix_1824),peixe_frito,Pheasant_Cuckoo,,,,,,,,,1,,1,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,3
,Subfamilia,Cuculinae_Leach_1820,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Piaya_Lesson_1830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Especie,Piaya_cayana_(Linnaeus_1766),alma_de_gato,Squirrel_Cuckoo,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,0,2
,Ordem,Caprimulgiformes_Ridgway_1881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Caprimulgidae_Vigors_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Nyctidromus_Gould_1838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Especie,Nyctidromus_albicollis_(Gmelin_1789),bacurau,Common_Pauraque,,60,,,,,,,,,,,,60,,52,,,,,,,,,,39,,91,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,151
,Genero,Nannochordeiles_Hartert_1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Especie,Nannochordeiles_pusillus_(Gould_1861),bacurauzinho,Least_Nighthawk,,,14,,,,,,,,,,,14,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,14
,Genero,Podager_Wagler_1832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Especie,Podager_nacunda_(Vieillot_1817),corucao,Nacunda_Nighthawk,,,7,,,,,,,,,,,7,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,1,,,,,,,,,,,1,8
,Ordem,Apodiformes_Peters_1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familia,Trochilidae_Vigors_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Subfamilia,Phaethornithinae_Jardine_1833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Phaethornis_Swainson_1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Especie,Phaethornis_pretrei_(Lesson_&_Delattre_1839),rabo_branco_acanelado,Planalto_Hermit,,,,,,,,,,,,,,0,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
,Subfamilia,Polytminae_Reichenbach_1849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Colibri_Spix_1824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Especie,Colibri_serrirostris_(Vieillot_1816),beija_flor_de_orelha_violeta,White_vented_Violetear,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,0,1
,Subfamilia,Trochilinae_Vigors_1825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Eupetomena_Gould_1853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Especie,Eupetomena_macroura_(Gmelin_1788),beija_flor_tesoura,Swallow_tailed_Hummingbird,,,,,,,,,,,,,,0,,,,,,,1,,,,,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,0,2
,Genero,Chionomesa_Simon_1921,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Especie,Chionomesa_fimbriata_(Gmelin_1788),beija_flor_de_garganta_verde,Glittering_throated_Emerald,,1,,,,,,,1,,,,,2,,1,,,2,,2,,,,,,,5,,2,,,,,,,,,,,,2,,,,,,,,,,,,,,0,9
40,Especie,Chionomesa_lactea_(Lesson_1832),beija_flor_de_peito_azul,Sapphire_spangled_Emerald,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0
,Ordem,Gruiformes_Bonaparte_1854,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,0
,Familia,Aramidae_Bonaparte_1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Aramus_Vieillot_1816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Especie,Aramus_guarauna_(Linnaeus_1766),carao,Limpkin,,1,,,,,,,,,,,,1,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
,Familia,Rallidae_Rafinesque_1815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Genero,Porphyrio_Brisson_1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Especie,Porphyrio_martinica_(Linnaeus_1766),frango_dagua_azul,Purple_Gallinule,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,1,,,1,,,,,,,,,,,2,,,2,3
,Genero,Mustelirallus_Bonaparte_1856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Especie,Mustelirallus_albicollis_(Vieillot_1819),sana_carijo,Ash_throated_Crake,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,1
,Genero,Aramides_Pucheran_1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Especie,Aramides_cajaneus_(Statius_Muller_1776),saracura_tres_potes,Gray_necked_Wood_Rail,,1,,,,,1,,,,3,,,5,,10,,,,,,,,,,,3,13,,,,,,,,,,,3,0,2,5,,,,,,,,,,,,,,0,23
45,Especie,Aramides_saracura_(Spix_1825),saracura_do_mato,Slaty_breasted_Wood_Rail,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,2
