#;Categoria;Nome do táxon (com autoria);Nome em Português;English Name;Vasante  Julho /2023;;;;;;;;;;;;;;;;Seca  Outubro /2023;;;;;;;;;;;;;;;Enchente Março de 2024;;;;;;;;;;;;;;Cheia Dezembro 2024;;;;;;;;;;;;;;;;
;;;;;FOAD;B. sonhos;estrada (mata+comunidade);Sinhá mariana (indo para corixo Leme);Corixo Leme; Rio II                                         Estirão Cumprido/Porto Brandão;;Rio I                       Poço/ Barão;;Mané-Isaque;Rio III              Cuiabá-Mirim;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé cidade;Total 1ª Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme; Rio II                                                     Porto Brandão/ Estirão Cumprido;Rio III;;Mané-Isaque;Rio I;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 2º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 3º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 4º Coleta;;;
70;Espécie;Anhima cornuta (Linnaeus, 1766);anhuma;Horned Screamer;;;;;;;;;;;;;;;;0;;;;;;;;;;2;;2;;7;11;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;0;;;
71;Gênero;Chauna Illiger, 1811;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
72;Espécie;Chauna torquata (Oken, 1816);tachã;Southern Screamer;;;;;;;;;;;;;;;;0;;2;;;;;;;2;;;;;;4;;3;;;;;;2;;;;3;2;10;;2;;;1;;;;;;;;;3;;;
73;Família;Anatidae Leach, 1820;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
74;Subfamília;Dendrocygninae Reichenbach, 1850;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
75;Gênero;Dendrocygna Swainson, 1837;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
76;Espécie;Dendrocygna bicolor (Vieillot, 1816);marreca-caneleira;Fulvous Whistling-Duck;;2;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
77;Espécie;Dendrocygna viduata (Linnaeus, 1766);irerê;White-faced Whistling-Duck;;36;;25;;;;;;;;;;3;3;67;;;;;;;;;;;12;5;;140;157;;8;;;;;;;;;2;;;10;;7;;;;;;;;13;;;3;23;;;
78;Espécie;Dendrocygna autumnalis (Linnaeus, 1758);marreca-cabocla;Black-bellied Whistling-Duck;;61;;;;;;;;;;;;;;61;;;;;;37;;;;;1;;;16;54;16;44;;348;;9;;;;;4;0;62;483;6;52;;;;;2;;;5;2;;12;79;;;
80;Subfamília;Anserinae Vigors, 1825;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
81;Gênero;Cygnus Garsault, 1764;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
82;Espécie;Cygnus melancoryphus (Molina, 1782);cisne-de-pescoço-preto;Black-necked Swan;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
83;Gênero;Coscoroba Reichenbach, 1853;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
84;Espécie;Coscoroba coscoroba (Molina, 1782);capororoca;Coscoroba Swan;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
85;Subfamília;Anatinae Leach, 1820;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
86;Gênero;Neochen Oberholser, 1918;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
87;Espécie;Neochen jubata (Spix, 1825);pato-corredor;Orinoco Goose;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
88;Gênero;Chloephaga Eyton, 1838;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
89;Espécie;Chloephaga picta (Gmelin, 1789);ganso-de-magalhães;Upland Goose;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
91;Gênero;Cairina Fleming, 1822;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
92;Espécie;Cairina moschata (Linnaeus, 1758);pato-do-mato;Muscovy Duck;;;;;;;;;;;;;5;;;5;;;;;;;;;;;;4;;;4;;;;;;;;;;;;;;0;;;;;;;;;;;2;;;2;;;
93;Gênero;Sarkidiornis Eyton, 1838;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
94;Espécie;Sarkidiornis sylvicola Ihering & Ihering, 1907;pato-de-crista;Comb Duck;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
95;Gênero;Callonetta Delacour, 1936;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
96;Espécie;Callonetta leucophrys (Vieillot, 1816);marreca-de-coleira;Ringed Teal;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
97;Gênero;Amazonetta Boetticher, 1929;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
98;Espécie;Amazonetta brasiliensis (Gmelin, 1789);marreca-ananaí;Brazilian Teal;;;;;;;;;;;;;;;3;3;2;;;;;;;;;;23;;;;25;3;3;;;;;;;;;;;;6;;;;;;;;;;3;;;;3;;;
101;Gênero;Spatula Boie, 1822;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
102;Espécie;Spatula versicolor (Vieillot, 1816);marreca-cricri;Silver Teal;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
104;Espécie;Spatula platalea (Vieillot, 1816);marreca-colhereira;Red Shoveler;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
