#;Categoria;Nome do táxon (com autoria);Nome em Português;English Name;Vasante  Julho /2023;;;;;;;;;;;;;;;;Seca  Outubro /2023;;;;;;;;;;;;;;;Enchente Março de 2024;;;;;;;;;;;;;;Cheia Dezembro 2024;;;;;;;;;;;;;;;;
;;;;;FOAD;B. sonhos;estrada (mata+comunidade);Sinhá mariana (indo para corixo Leme);Corixo Leme; Rio II                                         Estirão Cumprido/Porto Brandão;;Rio I                       Poço/ Barão;;Mané-Isaque;Rio III              Cuiabá-Mirim;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé cidade;Total 1ª Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme; Rio II                                                     Porto Brandão/ Estirão Cumprido;Rio III;;Mané-Isaque;Rio I;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 2º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 3º Coleta;FOAD;B. sonhos;estrada (mata+comunidade);Chacororé - Sinhá Mariana;Corixo Leme;Rio III;Rio II;Rio I;Mané-Isaque;Sinhá Mariana- Mutum;Rio Mutum;Corixo do Mato;Chacororé;Total 4º Coleta;;;
2716;Espécie;Sittasomus griseicapillus (Vieillot, 1818);arapaçu-verde;Olivaceous Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;1;;;1;0;2;4;;;;;;;;;;;;;;0;;;
2724;Gênero;Deconychura Cherrie, 1891;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2725;Espécie;Deconychura longicauda (Pelzeln, 1868);arapaçu-rabudo;Long-tailed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2730;Gênero;Dendrocincla Gray, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2731;Espécie;Dendrocincla merula (Lichtenstein, 1829);arapaçu-da-taoca;White-chinned Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2739;Espécie;Dendrocincla fuliginosa (Vieillot, 1818);arapaçu-pardo;Plain-brown Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2744;Espécie;Dendrocincla atrirostris (d'Orbigny & Lafresnaye, 1838);arapaçu-pardo-de-mato-grosso;d'Orbigny’s Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2745;Espécie;Dendrocincla taunayi Pinto, 1939;arapaçu-pardo-do-nordeste;Pernambuco Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2746;Espécie;Dendrocincla turdina (Lichtenstein, 1820);arapaçu-liso;Plain-winged Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2747;Subfamília;Dendrocolaptinae Gray, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2748;Gênero;Glyphorynchus Wied, 1831;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2749;Espécie;Glyphorynchus spirurus (Vieillot, 1819);arapaçu-bico-de-cunha;Wedge-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2758;Gênero;Dendrexetastes Eyton, 1851;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2759;Espécie;Dendrexetastes rufigula (Lesson, 1844);arapaçu-galinha-da-guiana;Cinnamon-throated Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2760;Espécie;Dendrexetastes devillei (Lafresnaye, 1850);arapaçu-galinha-ocidental;Deville's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2761;Espécie;Dendrexetastes paraensis Lorenz von Liburnau, 1895;arapaçu-galinha-do-pará;Para Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2764;Gênero;Nasica Lesson, 1830;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2765;Espécie;Nasica longirostris (Vieillot, 1818);arapaçu-de-bico-comprido;Long-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2766;Gênero;Dendrocolaptes Hermann, 1804;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2767;Espécie;Dendrocolaptes certhia (Boddaert, 1783);arapaçu-barrado;Amazonian Barred Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2768;Espécie;Dendrocolaptes radiolatus Sclater & Salvin, 1868;arapaçu-barrado-do-napo;Napo Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2769;Espécie;Dendrocolaptes juruanus Ihering, 1905;arapaçu-barrado-do-juruá;Juruá Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2770;Espécie;Dendrocolaptes concolor Pelzeln, 1868;arapaçu-concolor;Plain-colored Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2771;Espécie;Dendrocolaptes ridgwayi Hellmayr, 1905;arapaçu-barrado-do-tapajós;Ridgway's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2772;Espécie;Dendrocolaptes retentus Batista, Aleixo, Vallinoto, Azevedo, Rêgo, Silveira, Sampaio & Schneider, 2013;arapaçu-barrado-do-xingu;Xingu Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2773;Espécie;Dendrocolaptes medius Todd, 1920;arapaçu-barrado-do-leste;Todd's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2774;Espécie;Dendrocolaptes picumnus Lichtenstein, 1820;arapaçu-meio-barrado;Black-banded Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2778;Espécie;Dendrocolaptes hoffmannsi Hellmayr, 1909;arapaçu-marrom;Hoffmanns's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2779;Espécie;Dendrocolaptes transfasciatus Todd, 1925;arapaçu-meio-barrado-do-xingu;Santarem Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2780;Espécie;Dendrocolaptes platyrostris Spix, 1825;arapaçu-grande;Planalto Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;1;;;1;;;;;;;;;;;;;;0;;;
2783;Gênero;Hylexetastes Sclater, 1889;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2784;Espécie;Hylexetastes stresemanni Snethlage, 1925;arapaçu-de-barriga-pintada;Bar-bellied Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2788;Espécie;Hylexetastes perrotii (Lafresnaye, 1844);arapaçu-de-bico-vermelho;Red-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2789;Espécie;Hylexetastes uniformis Hellmayr, 1909;arapaçu-uniforme;Uniform Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2792;Gênero;Xiphocolaptes Lesson, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2793;Espécie;Xiphocolaptes promeropirhynchus (Lesson, 1840);arapaçu-vermelho;Strong-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2797;Espécie;Xiphocolaptes carajaensis Silva, Novaes & Oren, 2002;arapaçu-do-carajás;Carajas Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2798;Espécie;Xiphocolaptes falcirostris (Spix, 1824);arapaçu-do-nordeste;Moustached Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2801;Espécie;Xiphocolaptes albicollis (Vieillot, 1818);arapaçu-de-garganta-branca;White-throated Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2805;Espécie;Xiphocolaptes major (Vieillot, 1818);arapaçu-do-campo;Great Rufous Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2808;Gênero;Xiphorhynchus Swainson, 1827;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2809;Espécie;Xiphorhynchus obsoletus (Lichtenstein, 1820);arapaçu-riscado;Striped Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2813;Espécie;Xiphorhynchus fuscus (Vieillot, 1818);arapaçu-rajado;Lesser Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2817;Espécie;Xiphorhynchus atlanticus (Cory, 1916);arapaçu-rajado-do-nordeste;Ceara Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2818;Espécie;Xiphorhynchus pardalotus (Vieillot, 1818);arapaçu-assobiador;Chestnut-rumped Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2821;Espécie;Xiphorhynchus chunchotambo (Tschudi, 1844);arapaçu-de-tschudi;Tschudi's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2823;Espécie;Xiphorhynchus beauperthuysii (Pucheran & Lafresnaye, 1850);arapaçu-ocelado-do-norte;Northern Ocellated Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2824;Espécie;Xiphorhynchus ocellatus (Spix, 1824);arapaçu-ocelado;Ocellated Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2827;Espécie;Xiphorhynchus elegans (Pelzeln, 1868);arapaçu-elegante;Elegant Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2831;Espécie;Xiphorhynchus spixii (Lesson, 1830);arapaçu-de-spix;Spix's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2832;Espécie;Xiphorhynchus guttatus (Lichtenstein, 1820);arapaçu-de-garganta-amarela;Buff-throated Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2836;Espécie;Xiphorhynchus guttatoides (Lafresnaye, 1850);arapaçu-de-lafresnaye;Lafresnaye's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2842;Gênero;Dendroplex Swainson, 1827;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2843;Espécie;Dendroplex picus (Gmelin, 1788);arapaçu-de-bico-branco;Straight-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2849;Espécie;Dendroplex kienerii (Des Murs, 1855);arapaçu-ferrugem;Zimmer's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2850;Gênero;Campylorhamphus Bertoni, 1901;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2851;Espécie;Campylorhamphus trochilirostris (Lichtenstein, 1820);arapaçu-beija-flor;Red-billed Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2860;Espécie;Campylorhamphus falcularius (Vieillot, 1822);arapaçu-de-bico-torto;Black-billed Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2861;Espécie;Campylorhamphus multostriatus (Snethlage, 1907);arapaçu-de-bico-curvo-do-xingu;Snethlage's Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2862;Espécie;Campylorhamphus probatus Zimmer, 1934;arapaçu-de-bico-curvo-de-rondônia;Rondonia Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2863;Espécie;Campylorhamphus cardosoi Portes, Aleixo, Zimmer, Whittaker, Weckstein, Gonzaga, Ribas, Bates & Lees, 2013;arapaçu-do-tapajós;Tapajos Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2864;Espécie;Campylorhamphus procurvoides (Lafresnaye, 1850);arapaçu-de-bico-curvo;Curve-billed Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2865;Espécie;Campylorhamphus sanus Zimmer, 1934;arapaçu-de-bico-curvo-do-napo;Zimmer's Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2866;Espécie;Campylorhamphus gyldenstolpei Aleixo, Portes, Whittaker, Weckstein, Gonzaga, Zimmer, Ribas & Bates, 2013;arapaçu-do-tupana;Tupana Scythebill;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2867;Gênero;Drymornis Eyton, 1852;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2868;Espécie;Drymornis bridgesii (Eyton, 1849);arapaçu-platino;Scimitar-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2869;Gênero;Lepidocolaptes Reichenbach, 1853;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2870;Espécie;Lepidocolaptes souleyetii (Des Murs, 1849);arapaçu-listrado;Streak-headed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2872;Espécie;Lepidocolaptes angustirostris (Vieillot, 1818);arapaçu-de-cerrado;Narrow-billed Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2873;Espécie;Lepidocolaptes wagleri (Spix, 1824);arapaçu-de-wagler;Wagler’s Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2874;Espécie;Lepidocolaptes squamatus (Lichtenstein, 1822);arapaçu-escamoso;Scaled Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2875;Espécie;Lepidocolaptes falcinellus (Cabanis & Heine, 1859);arapaçu-escamoso-do-sul;Scalloped Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2876;Espécie;Lepidocolaptes duidae Zimmer, 1934;arapaçu-do-duida;Duida Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2877;Espécie;Lepidocolaptes albolineatus (Lafresnaye, 1845);arapaçu-de-listras-brancas;Guianan Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2878;Espécie;Lepidocolaptes fatimalimae Rodrigues, Aleixo, Whittaker & Naka, 2013;arapaçu-do-inambari;Inambari Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2879;Espécie;Lepidocolaptes fuscicapillus (Pelzeln, 1868);arapaçu-de-rondônia;Rondonia Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2880;Espécie;Lepidocolaptes layardi (Sclater, 1873);arapaçu-de-listras-brancas-do-leste;Layard's Woodcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2881;Família;Xenopidae Bonaparte, 1854;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2882;Gênero;Xenops Illiger, 1811;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2883;Espécie;Xenops tenuirostris Pelzeln, 1859;bico-virado-fino;Slender-billed Xenops;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2887;Espécie;Xenops minutus (Sparrman, 1788);bico-virado-miúdo;Plain Xenops;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2894;Espécie;Xenops rutilans Temminck, 1821;bico-virado-carijó;Streaked Xenops;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2898;Família;Furnariidae Gray, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2899;Subfamília;Berlepschiinae Ohlson, Irestedt, Ericson & Fjeldså, 2013;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2900;Gênero;Berlepschia Ridgway, 1887;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2901;Espécie;Berlepschia rikeri (Ridgway, 1886);limpa-folha-do-buriti;Point-tailed Palmcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2902;Subfamília;Pygarrhichinae Wolters, 1977;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2903;Gênero;Microxenops Chapman, 1914;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2904;Espécie;Microxenops milleri Chapman, 1914;bico-virado-da-copa;Rufous-tailed Xenops;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2905;Subfamília;Furnariinae Gray, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2906;Gênero;Tarphonomus Chesser & Brumfield, 2007;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2907;Espécie;Tarphonomus certhioides (d'Orbigny & Lafresnaye, 1838);joão-chaquenho;Chaco Earthcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2909;Gênero;Furnarius Vieillot, 1816;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2910;Espécie;Furnarius figulus (Lichtenstein, 1823);casaca-de-couro-da-lama;Wing-banded Hornero;2;;1;;;;;;;;;;;;;3;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2913;Espécie;Furnarius leucopus Swainson, 1838;casaca-de-couro-amarelo;Pale-legged Hornero;;;;;;;;;;5;2;;4;;2;13;1;;;;1;3;;;;1;;1;;2;9;15;11;;;;;;1;;;2;0;1;30;;;;;;;2;;1;;2;;;5;;;
2918;Espécie;Furnarius torridus Sclater & Salvin, 1866;joão-de-bico-pálido;Pale-billed Hornero;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2919;Espécie;Furnarius minor Pelzeln, 1858;joãozinho;Lesser Hornero;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2920;Espécie;Furnarius rufus (Gmelin, 1788);joão-de-barro;Rufous Hornero;3;;1;;;1;;;;6;2;;;;5;18;6;3;5;;2;8;;;7;1;;;;5;37;4;;2;;;6;;4;2;;2;0;9;29;;2;;;;2;3;1;3;;;;;11;;;
2924;Gênero;Lochmias Swainson, 1827;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2925;Espécie;Lochmias nematura (Lichtenstein, 1823);joão-porca;Sharp-tailed Streamcreeper;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2928;Gênero;Phleocryptes Cabanis & Heine, 1859;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2929;Espécie;Phleocryptes melanops (Vieillot, 1817);bate-bico;Wren-like Rushbird;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2931;Gênero;Limnornis Gould, 1839;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2932;Espécie;Limnornis curvirostris Gould, 1839;joão-da-palha;Curve-billed Reedhaunter;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2933;Gênero;Cinclodes Gray, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2934;Espécie;Cinclodes espinhacensis Freitas, Chaves, Costa, Santos & Rodrigues, 2012;pedreiro-do-espinhaço;Cipo Cinclodes;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2935;Espécie;Cinclodes pabsti Sick, 1969;pedreiro;Long-tailed Cinclodes;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2936;Espécie;Cinclodes fuscus (Vieillot, 1818);pedreiro-dos-andes;Buff-winged Cinclodes;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2937;Subfamília;Philydorinae Sclater & Salvin, 1873;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2938;Gênero;Anabazenops Lafresnaye, 1840;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2939;Espécie;Anabazenops dorsalis (Sclater & Salvin, 1880);barranqueiro-de-topete;Dusky-cheeked Foliage-gleaner;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2940;Espécie;Anabazenops fuscus (Vieillot, 1816);trepador-coleira;White-collared Foliage-gleaner;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2941;Gênero;Megaxenops Reiser, 1905;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
2942;Espécie;Megaxenops parnaguae Reiser, 1905;bico-virado-da-caatinga;Great Xenops;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;;;;;;;;;;;;0;;;
